# nof_control_points  dimension  delta_t  T_period
84  3  0.04  0.8  6
# control_point_x  control_point_y  control_point_z
75.23         67.08         107.2
96.518        174.66        204.64
-196.018         480.5         83.37
-360.59        401.96        -90.15
# control_point_x  control_point_y  control_point_z
-396.8         7.876         -97.2
-280.8        -36.49          6.72
-103.27       -134.78          -2.5
-33.2448        -179.9         21.61
-100          -100             0
-100             0             0
-50.76      -13.9161       -112.04
12.47        25.01       -98.63
31.21         50.18       -148.93
37.0019        298.33       -248.78
-216.456        374.66       -200.55
-352.07       260.473       -147.18
-333.79         8.685         15.72
-225.44       -182.21       -146.63
-98.29        -283.4        -83.99
-0.791       -294.18          0.86
121.51       -233.57         90.08
211.36       -152.13        -12.05
118.11        -1.228       -105.06
-13.17        87.94       -96.81
25.5        42.28       -19.83
23.383        187.83        -22.99
-197.512        123.88         21.72
-223.14       196.096         31.34
-342.1        -3.898         35.65
-252.02       -118.66         15.19
-56.43       -227.33        -32.38
16.5142          -300         -7.11
112.44       -197.14        -11.08
199.11        -98.18          1.48
193.05        15.118          6.56
245.5        163.27         87.19
107.4        287.65        -99.19
-57.1971        279.05         73.59
-229.038        234.03        145.88
-297.27        200.06             4
-458.01       83.4234         -1.04
-154.96      -178.715         11.18
-7.141        72.23        31.05
-24.482        134.63        -73.01
-77.88       -43.12        49.53
184.76        -94.78          1.72
200.67      -40.9274         -2.24
147.55        118.81         16.24
41.87        237.45         13.77
15.936         336.2         14.57
-247.746        357.65        101.63
-419.65       384.756        -19.86
-416.11      103.9661         13.24
-152.45      -160.228        -31.89
53.976       -67.87       -76.94
-14.977       -33.93       -64.14
115.18        -72.33        -84.05
103.26      -267.489         -16.4
260.32         4.991        109.85
146.03         59.37        -46.29
67.49         91.33       -100.21
8.178        278.48         -2.72
-316.393         257.1         71.21
-380.73       389.674        -11.03
-369.23      21.35692        121.48
-100.89       -113.58          78.8
-33.926       -47.49       -65.09
43.465        52.02       -14.78
125.39        -73.43         -6.58
289.91          -113         -1.04
320.28      -21.2212         62.59
203.66        168.77            90
28.91        181.01         92.28
-4.645        293.88         141.2
-208.536        361.83         43.24
-322.42        232.88        217.93
-376.55       30.5445        116.29
-184.68        -54.86         -3.44
86.982        33.47       -48.28
12.405        93.09        33.12
-8.03       -134.09         25.77
-30.79      -71.024        68.38
103.5        8.4481        121.28
73.93        90.035        142.58
101.5        121.05        148.24
127.059        165.74        222.97
-212.521        511.39          91.5
-460.59        401.96        -90.15
# control_point_x  control_point_y  control_point_z
-504.62         1.101        -94.55
-352.94        -19.75          9.92
-119.27       -245.05        -22.31
-13.7078       -198.55          4.25
-100          -100             0
0  0  0
0.16       -10.981       -108.76
33.09         23.28       -125.54
91.82        147.35       -129.54
43.0104        401.85       -236.54
-292.678        446.76       -188.05
-431.03        295.01       -161.92
-492.43         2.677         18.16
-285.95       -241.08       -131.45
-108.7       -296.34        -78.76
-0.404       -209.92           3.4
92.81       -204.67         106.4
156.94        -65.46          6.64
104.92       -19.003        -99.89
16.32        96.61       -52.91
46.86        175.32        -20.49
4.415        324.25        -36.14
-295.388        230.73         19.25
-295.28        277.17         30.51
-508.98        -0.208          7.14
-313.51       -125.91          0.22
-89.84       -283.52        -10.62
-1.7762       -286.26          0.24
80.1        -157.2         11.73
201.67       -104.37         10.71
189.12        16.943          8.38
273.74        199.58         75.74
127.98        414.11       -126.76
-138.1621        453.29        161.79
-348.691        357.64        167.64
-395.79        331.44         24.74
-471.15       82.9846          2.12
-110.08       -103.13           3.2
8.438        85.85       -11.02
-25.101        135.64        -73.11
-60.63       -133.12         89.97
206.87        -129.3         54.04
296.33      -32.7254         -4.07
314.63        198.71        -31.87
114.73        398.28         11.56
7.631        442.06         -11.8
-291.711        411.97        121.23
-430.89       390.847        -12.01
-512.99      114.4264         14.11
-227.41      -227.667          5.95
-1.387       -89.08        -25.9
-12.859        -108.2        -58.66
146.13        -87.73       -118.88
125.84      -268.039         -5.24
273.56         3.434        111.46
170.24          80.8         -39.7
79.77        194.63        -62.76
10.58         382.2          1.44
-344.075        352.13         90.08
-445.3       442.511        -42.75
-442.39     -16.86836        172.57
-202.46      -207.484         73.63
-104.832       -137.55        -86.92
42.288       -47.79       -15.04
112.38       -158.87         15.29
411.98        -110.9           0.7
479.57      -74.1137         88.16
254.1       221.184        151.54
24.08        256.73         85.56
30.082        444.92        201.81
-267.777        496.49        112.21
-343.18        284.06        271.34
-473.36       28.4485        116.24
-227      -112.495         49.06
4.937       -106.16         35.66
59.645        63.46        58.16
-2.33        -134.3         54.48
6.02       -85.305        139.73
177.12     -24.01094        186.07
120.12        124.86        156.49
107.65        133.18        193.85
124.115        252.84        328.66
-238.624        627.01        120.29
-560.59        501.96        -90.15
# control_point_x  control_point_y  control_point_z
-675.52         1.548       -103.57
-393.16        -61.13        -14.98
-101.43       -233.63         -4.14
4.8428       -261.07           7.1
-100          -100             0
0  0  0
-56.69      -13.5359       -108.24
41.47         53.37       -150.79
87.98         94.13       -172.84
68.5727        377.53       -262.43
-286.441        446.18       -195.14
-481.24        331.51       -144.89
-527.01         5.371         25.46
-352.4       -316.94       -177.76
-153.69       -338.02        -38.44
-5.065       -300.31        -17.99
105.48       -222.92        106.46
218.45        -48.26        -11.36
99.7       13.567       -95.27
26.99        81.02        -81.9
43.49        182.28         17.36
24.556        298.27        -22.06
-286.926        273.24          4.85
-413.92           293         26.99
-603.29         -2.63         12.58
-414.11       -140.34          1.94
-67.37       -351.47        -24.62
-1.7492       -299.04          1.27
81.43       -156.05         10.55
173.49       -104.63         -7.45
136.44        38.405         46.63
257.77        178.41         68.19
135.51        427.61       -114.98
-103.2161        483.22        188.88
-418.335        404.47         211.6
-455.61       390.329         84.71
-497.54      103.3744          7.75
-202.87       -104.79          3.77
-18.421        68.23        28.75
-25.346        136.57        -73.02
-92.99        -104.8        101.05
203.53       -127.95         54.12
378.55      -29.8624        -13.59
312.44        193.58        -44.17
161.59        453.45          7.23
23.849        533.13        -19.34
-350.79        468.04        106.33
-438.28       399.929         -7.46
-540.12      101.9101         35.44
-258.53      -263.981         20.85
-86.543       -213.22         16.83
-32.091       -144.54        -48.23
238.03       -186.65       -124.15
147.01      -287.109          6.95
298.32        -45.13        113.93
153.61          74.7        -46.61
40.54        125.47       -103.39
35.266        447.33        -17.29
-372.968        426.37         78.78
-489.83       489.946         -6.78
-425.18     -33.88238        157.24
-239.79       -241.25         39.59
-164.569       -196.01        -33.95
45.713       -249.81        -15.31
214.07       -348.28         -3.08
496.02      -201.153         -0.46
483.91      -78.0362         81.84
269.33       226.235        160.04
23.07         262.3         94.24
38.108        335.68        201.92
-244.735         431.9         81.34
-385.27       294.478        284.29
-492.65      -22.4919         149.7
-219.77      -130.986        116.39
-72.841       -141.45         52.33
81.612         -3.17        143.54
34.83       -189.81        126.22
39.64         -60.9        192.07
177.86      -51.1471        229.35
164.25       117.404        172.21
118.24        126.96        192.61
145.585        162.43        226.51
-236.166        609.56        146.79
-610.24       499.706        -23.05
# control_point_x  control_point_y  control_point_z
-670.57         6.259        -99.05
-546.82       -131.08         -43.3
-146.29       -358.67         73.23
-8.2908       -323.41         42.18
-100          -200             0
0  0  0
55.92      -12.7693       -108.24
16.35         43.21       -178.54
86.72         39.57       -130.08
99.01333        316.92       -195.46
-268.205        406.26       -199.09
-470.4       343.533       -158.44
-516.06        -4.084         14.24
-356.31       -300.54       -180.19
-190.663       -378.88        -10.69
-9.263       -332.36         26.88
132.33       -248.72          84.7
249.04        -61.24          1.64
192.96        29.878       -125.04
13.95        93.23       -59.94
-30.99        125.91         17.41
101.8477        133.39        -38.42
-200.621        227.84         19.97
-382.43       272.063         31.79
-594.88        -0.095          0.93
-458.5       -140.38         28.81
-88.23       -394.01         -14.7
-14.2712       -304.05         14.46
109.27       -194.15            -6
199.08       -102.56         10.67
197.69        12.974         11.14
252.79        177.17          59.5
114.53           401       -110.69
-118.2421        417.97        109.75
-440.039        346.38        168.54
-449.65       381.629          81.4
-560.4       85.5738          0.42
-231.76        -97.53          6.45
-20.1        66.42        29.53
-24.991        135.85        -73.22
-109.9        -62.41         83.33
171.16        -93.77         91.18
375.97      -33.5514        -15.71
258.79        128.36        -68.66
81.34        371.91         -1.26
37.926        499.63        -48.15
-367.037        447.23        110.11
-418.96       397.788        -21.76
-549.42       92.6161         33.82
